source_id,ra,dec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
5079067147013772288,43.66648548412693,-22.266581909507593,70.04028478108923,11.748698,13.199437,10.563382,2.636055
5044297634405581696,45.523321427087616,-39.8506160871847,70.04294232459516,13.990478,16.12391,12.653786,3.4701252
5129338021224785408,41.277321981998256,-18.572408740298428,70.0458650896813,4.3308682,4.585217,3.93988,0.6453371
4865016349710062208,66.23358343710504,-40.04937645779219,70.06318569503301,12.550216,14.259039,11.297163,2.961876
3928391218812375808,189.71325870874674,11.69503594754184,70.11389784607175,10.335732,11.750369,9.159715,2.5906544
4258375617747092864,281.86295511751837,-3.641055455311226,70.13347528858606,8.269603,9.028377,7.420927,1.6074495
2302668860880387072,289.10161012405797,84.22869527150492,70.14074610655817,13.262562,15.247773,11.949459,3.298314
1510834911934401152,208.00294477888406,49.9502912331876,70.14918636878136,8.254614,9.051223,7.3838987,1.6673241
3203124697405667712,65.95088653918056,-4.233918172124934,70.15017309793838,20.09032,21.427774,18.172626,3.255148
3060788519149063680,114.02980309738263,-3.1120644097654666,70.27489246720906,9.142377,10.139064,8.106844,2.03222
3342958387205080064,89.24084594405419,11.741022819481223,70.31531672603114,13.801874,16.016447,12.443196,3.5732508
5970956070030449792,251.06244856982798,-38.94390290151647,70.32196073686148,7.191345,7.730347,6.49972,1.2306271
1229089524081628416,217.36887348196421,15.538414038335086,70.32487493126503,9.732934,10.90645,8.651203,2.255247
5189170557793054848,159.68433024045862,-86.54629290223104,70.46108296886416,11.895596,13.488344,10.671947,2.8163977
6577573677445347584,324.1084316282102,-44.019709447137956,70.49211505889951,12.5706415,14.37727,11.292878,3.0843916
230171768457140736,59.3320361570653,41.12839689730314,70.50773123988075,14.638093,17.261324,13.211935,4.049389
1237730036208674048,219.86144069695553,19.489464200444402,70.55508407142764,17.542496,21.173414,15.947535,5.2258797
3530383784971799680,191.00091142330737,-11.175787631619018,70.5719536538671,12.634542,14.430498,11.353422,3.077076
6662167868705713664,284.78208486186395,-48.276651589259686,70.59523619473788,10.101377,11.370641,8.980238,2.3904028
1093918828739878528,129.09378163676524,67.2952414926635,70.6194625207145,8.615115,9.513581,7.6258993,1.887682
4055585060376248832,266.5527252424213,-32.10374822060554,70.67922356119885,9.602647,10.755777,8.529942,2.2258358
6863536001631204608,298.5853870969822,-23.946408599564357,70.69322170119487,13.226322,15.295885,11.893041,3.4028444
6863535898551993472,298.573333453915,-23.942897296654756,70.70095856863598,5.908112,6.425188,5.2388678,1.1863203
4055584308787727488,266.5596831413788,-32.10354269209381,70.73346293240992,10.278985,11.754064,9.08526,2.6688032
4345775217221821312,243.90633606005997,-8.371641161548801,70.73714672122247,5.327651,5.6549315,4.8378544,0.81707716
5908372482296952064,225.319330232481,-43.65850785199451,70.75298153219886,9.658678,11.021856,8.50354,2.5183163
2799992744809482112,6.985243946351337,22.324902794590333,70.78101071168312,14.962327,18.313305,13.384194,4.9291105
3553682127126319360,159.73017337204226,-20.680003391633377,70.83755933851121,15.838033,16.092281,15.345789,0.7464924
3197487123332369536,61.52874997880343,-5.579705448233032,70.86986317489459,11.993692,13.544682,10.780243,2.7644386
982389862479141376,116.80766643936455,50.344381181505526,70.87696282292809,11.782016,13.359035,10.559629,2.799405
3934198156329809152,190.27751558281284,15.375020276184097,70.8793049316243,7.507833,8.12456,6.753419,1.3711414
1466009540856759680,196.71054781743726,30.84621621605227,70.89594596323808,13.604942,15.738634,12.264008,3.4746265
4568060562432051584,256.77899349986836,21.553906093733755,70.96842537636431,10.5571375,11.891309,9.413489,2.4778194
5053399803976245760,49.72741837524085,-34.357935616760344,70.98123026054824,20.970524,21.47957,19.276514,2.2030563
3057712188691831936,115.01238286998716,-3.604949403710938,70.99235553163828,8.334735,9.149768,7.4525676,1.6972003
5059349158319689344,48.019242438399225,-28.984121178116506,71.00889596182354,6.634122,7.1056385,5.993546,1.1120925
5202336655483914624,153.3585192023737,-78.71648809804049,71.01128852589831,18.991526,21.375328,17.414816,3.9605122
2526862202360516224,7.899120214632265,-5.874989728805397,71.02372934032408,11.551807,13.012135,10.362487,2.6496477
3057712223051571200,114.9975146257713,-3.598743712839394,71.03228543821585,6.889849,7.3834934,6.234268,1.1492252
4512525016089353472,281.34496634633183,18.865092511988657,71.0495312450317,12.280304,13.959314,11.029649,2.9296656
6288325222245417856,207.42829872177768,-22.113288890480284,71.07799890467766,7.6912794,8.393014,6.8802037,1.5128102
6508776375901968640,334.5683625481559,-53.62987304773594,71.09384614454987,5.2305317,5.541717,4.7359624,0.80575466
1909518584084205312,337.4611835286402,41.48216136440744,71.11056721765688,11.858226,13.507742,10.607327,2.9004145
6192641081831733760,200.9054247040076,-25.913566425966554,71.11912568785725,11.570688,13.131816,10.350976,2.78084
4971892010576979840,33.787482009816834,-30.668656065288527,71.16201364456924,15.840613,19.138403,14.3218,4.8166027
87921523897823872,38.97329569548593,20.219260277260023,71.21640847108424,9.708674,10.898861,8.627383,2.2714777
2644439955745152512,353.5094798297434,0.17524273262485965,71.23393039944308,10.176725,11.397374,9.073014,2.32436
2910909931633597312,88.9316276873395,-26.856545560260603,71.26068173659779,9.787544,11.05905,8.664608,2.3944416
3106548406384807680,100.90303359272531,-2.3879694818849884,71.3026263123103,20.635307,21.423615,18.898163,2.5254517
3531294008802299392,169.15435753908847,-27.95891105546361,71.31211537551617,12.290781,13.881836,11.063312,2.8185244
948039989652369408,109.53285447334326,39.27428792137454,71.3226505150266,9.5181875,10.554901,8.511458,2.0434427
